,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
653,4d6db32bb0249db764c222e535b18a41,Star Wars Ep. V: The Empire…,/movie/Star-Wars-Ep-V-The-Empire-Strikes-Back,1981/07/31,20th Century Fox,,,67484485,,,,,,,,,,,,,,,,,,,,,,,1580209,,,14702502,,,,,,,,,,,,,,,,,,,,,,,172511
4692,dd6a1c383dc74459cd3be7dfd92da966,The Boat is Full,/movie/Boot-ist-voll-Das,1981/10/23,Castle Hill Produ…,,,,,,,,,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,
12630,cb386ef3bd832c1fff0060f565f60464,The Atomic Cafe,/movie/Atomic-Cafe-The-(1982),1982/03/17,Libra Films,,,,,,,,,,,,,,,,,,,,,,,,22293,,,,,,,,,,,,,,,,,,,,,,,,,,2447,,
13297,d3544e3a9dc16a11b4eae561a4d2cea3,Gregory's Girl,/movie/Gregorys-Girl-(UK),1982/05/26,Samuel Goldwyn Films,,,,,,,,,,,,,,,,,,,,,,,,,7710,,,,,,,,,,,,,,,,,,,,,,,,,,841,
2750,c868ef5ace6ef91bf7105e9bd6bc0fdf,ET: The Extra-Terrestrial,/movie/ET-The-Extra-Terrestrial,1982/06/11,Universal,,,,,,,,75752422,,,,,,,,,,,,,,,,,,,,,,,,,,13038282,,,,,,,,,,,,,,,,,,
5519,3a8a9f12eecaf43edb2fe99c74ce1987,Blade Runner,/movie/Blade-Runner,1982/06/25,Warner Bros.,,,,,,,,,,,,,1178808,369694,,,,,,,,,,,,,,,,,,,,,,,,,171338,51489,,,,,,,,,,,,
13308,15a58591d2d9d67bc66b27b823782b40,Serie noire,/movie/Serie-Noire-(France),1982/06/25,Putnam Square Films,,,,,,,,,,,,,,,,,,,,,,,,,5633,,,,,,,,,,,,,,,,,,,,,,,,,,614,
1247,94522c4ecc559944a7126f76a8d1166d,The Beyond,/movie/E-tu-vivrai-nel-terrore-Laldila,1983/01/01,,,,,126387,,,,,,,,,,,,,,,,,,,,,,,,,,26948,,,,,,,,,,,,,,,,,,,,,,
7016,d77b995b1fd7edd62b64314f8741db06,"Jeanne Dielman, 23 Quai du …",/movie/Jeanne-Dielman-23-Quai-du-Commerce-1080-Bruxelles,1983/03/23,New Yorker,,,,,,,,,,,,,,,19471,387,,,,,,,,,,,,,,,,,,,,,,,,,2596,49,,,,,,,,,,
12047,28ec5c519f02331514b505ae53571c60,Heat and Dust,/movie/Heat-and-Dust-(UK)-(1983),1983/09/15,Universal,,,,,,,,,,,,,,,,,,,,,,,12227,,,,,,,,,,,,,,,,,,,,,,,,,,1363,,,
13384,6cf35c79e0fb72ef61483bd65e51e0f5,A Christmas Story,/movie/Christmas-Story-A,1983/11/18,MGM,,,,,,,,,,,,,,,,,,,,,,,,,,3896391,,,,,,,,,,,,,,,,,,,,,,,,,,425370
3337,951518d941ac7d6b8160ffc7d2a31df5,Scarface,/movie/Scarface,1983/12/09,Universal,,,,,,,,,3983232,,,,,,,,,,,,,,,,,,,,,,,,,,660569,,,,,,,,,,,,,,,,,
9618,9da5e1cfef282eec403a6a27719fa0f9,Ghostbusters,/movie/Ghostbusters-(1984),1984/06/08,Sony Pictures,,,,,,,,,,,,,,,,,,,,21356969,,,,,,,,,,,,,,,,,,,,,,,,,,2614072,,,,,,
