,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
10561,8e73819878c3312e152f0a92504e8ded,Devil and Angel,/movie/E-gun-tian-shi,2015/12/31,China Lion Film D…,,,,,,,,,,,,,,,,,,,,,64470,66588,,,,,,,,,,,,,,,,,,,,,,,,,7647,7698,,,,
10677,37783f01f581c2332a4a242722b39dc1,Only Yesterday,/movie/Omohide-poro-poro,2016/01/01,GKIDS,,,,,,,,,,,,,,,,,,,,,14970,438271,,,,,,,,,,,,,,,,,,,,,,,,,1775,50667,,,,
10777,49bfbf348f681bb88271f4b3565967ce,Yosemite,/movie/Yosemite-(2016),2016/01/01,Monterey Media,,,,,,,,,,,,,,,,,,,,,4461,9470,,,,,,,,,,,,,,,,,,,,,,,,,529,1094,,,,
11149,ba160b938b207277c01557de1d95195a,Ho Mann Jahaan,/movie/Ho-Mann-Jahaan,2016/01/01,Eros Entertainment,,,,,,,,,,,,,,,,,,,,,,208611,,,,,,,,,,,,,,,,,,,,,,,,,,24116,,,,
10659,10ce9ce07e6bbadddd978e380deaa5d1,Chimes at Midnight,/movie/Campanadas-a-medianoche,2016/01/01,Janus Films,,,,,,,,,,,,,,,,,,,,,18958,107766,,,,,,,,,,,,,,,,,,,,,,,,,2248,12458,,,,
11341,f82ff6974e77973f65b1fe84b384060a,Anesthesia,/movie/Anesthesia,2016/01/08,IFC Films,,,,,,,,,,,,,,,,,,,,,,26799,,,,,,,,,,,,,,,,,,,,,,,,,,3098,,,,
11324,c410c394ed8d0b579e6df6e394ff1f11,Troublemakers: The Story of…,/movie/Troublemakers-The-Story-of-Land-Art,2016/01/08,First Run Features,,,,,,,,,,,,,,,,,,,,,,29462,,,,,,,,,,,,,,,,,,,,,,,,,,3406,,,,
10925,d20dbbd97e7f48e2213b8245587f4b44,The Forest,/movie/Forest-The,2016/01/08,Focus / Gramercy,,,,,,,,,,,,,,,,,,,,,,26594261,,,,,,,,,,,,,,,,,,,,,,,,,,3074481,,,,
11093,e804e35154ee9c2344bb79935fa04ca2,Wazir,/movie/Wazir,2016/01/08,Reliance Entertai…,,,,,,,,,,,,,,,,,,,,,,586028,,,,,,,,,,,,,,,,,,,,,,,,,,67748,,,,
11156,79b7a37eae7de348a18a8fe31af5a8f4,The Masked Saint,/movie/Masked-Saint-The,2016/01/08,Freestyle Releasing,,,,,,,,,,,,,,,,,,,,,,182695,,,,,,,,,,,,,,,,,,,,,,,,,,21120,,,,
11407,16440996e90f2528d34fc1341416574d,Lamb,/movie/Lamb-(2015),2016/01/08,The Orchard,,,,,,,,,,,,,,,,,,,,,,14547,,,,,,,,,,,,,,,,,,,,,,,,,,1681,,,,
11281,88f3bbe99dde8c9644d4746a35373d6d,The Treasure,/movie/Comoara,2016/01/08,IFC Films,,,,,,,,,,,,,,,,,,,,,,48508,,,,,,,,,,,,,,,,,,,,,,,,,,5607,,,,
11275,0b4f8b87b35e6b92702be92d80eff8d8,In the Shadow of Women,/movie/ombre-des-femmes-L,2016/01/15,Distrib Films,,,,,,,,,,,,,,,,,,,,,,50291,,,,,,,,,,,,,,,,,,,,,,,,,,5813,,,,
11424,6e4cfae73407250327428bacd8dddff9,Remember You,/movie/Remember-You-(Korea),2016/01/15,CJ Entertainment,,,,,,,,,,,,,,,,,,,,,,11800,,,,,,,,,,,,,,,,,,,,,,,,,,1364,,,,
11372,d7d9b1c52165d63d445f619e4e6d5b79,Band of Robbers,/movie/Band-of-Robbers,2016/01/15,Gravitas Ventures,,,,,,,,,,,,,,,,,,,,,,20555,,,,,,,,,,,,,,,,,,,,,,,,,,2376,,,,
11473,c4c5210d78d0664895f09c7165cff460,A Perfect Day,/movie/Perfect-Day-A,2016/01/15,IFC Films,,,,,,,,,,,,,,,,,,,,,,5002,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,
10864,80cd4ae62a1428320bd37b1ae379b5c6,Ride Along 2,/movie/Ride-Along-2,2016/01/15,Universal,,,,,,,,,,,,,,,,,,,,,,90862685,,,,,,,,,,,,,,,,,,,,,,,,,,10504356,,,,
10893,95f39c1e3dbf24b00f6c84bf6ef532ac,13 Hours: The Secret Soldie…,/movie/13-Hours-The-Secret-Soldiers-of-Benghazi,2016/01/15,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,52853219,,,,,,,,,,,,,,,,,,,,,,,,,,6110198,,,,
10964,938214a7f38bc3ede17774bc953fa97a,The Lady in the Van,/movie/Lady-in-the-Van-The,2016/01/15,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,,,,,10021175,,,,,,,,,,,,,,,,,,,,,,,,,,1158517,,,,
11112,787677b12f8519438371706b600bf4e2,Detective Chinatown,/movie/Tang-ren-jie-tan-an,2016/01/15,China Lion Film D…,,,,,,,,,,,,,,,,,,,,,,459832,,,,,,,,,,,,,,,,,,,,,,,,,,53159,,,,
10945,31aaadeb5880c0ae60fd1b7d4d47f08f,Norm of the North,/movie/Norm-of-the-North,2016/01/15,Lionsgate,,,,,,,,,,,,,,,,,,,,,,17062499,,,,,,,,,,,,,,,,,,,,,,,,,,1972543,,,,
11190,b145e774d3055f8975b96b875263a9d9,Caged No More,/movie/Caged-No-More,2016/01/22,Freestyle Releasing,,,,,,,,,,,,,,,,,,,,,,114959,,,,,,,,,,,,,,,,,,,,,,,,,,13290,,,,
11195,ad047a21c6e5d0624b9e9ac02ef79cca,Aferim!,/movie/Aferim,2016/01/22,Big World Pictures,,,,,,,,,,,,,,,,,,,,,,108110,,,,,,,,,,,,,,,,,,,,,,,,,,12498,,,,
11018,9fa3968e00ed5ed111e0a315daa3e5bc,Ip Man 3,/movie/Yip-Man-3-(Hong-Kong)-(2015),2016/01/22,Well Go USA,,,,,,,,,,,,,,,,,,,,,,2679437,,,,,,,,,,,,,,,,,,,,,,,,,,309761,,,,
11482,0435c75809aebd2a650cac69d4dba419,Synchronicity,/movie/Synchronicity,2016/01/22,Magnolia Pictures,,,,,,,,,,,,,,,,,,,,,,4505,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,
10908,dadfea235e2ca9f657bbe1021547182c,The Boy,/movie/Boy-The-(2016),2016/01/22,STX Entertainment,,,,,,,,,,,,,,,,,,,,,,35819556,,,,,,,,,,,,,,,,,,,,,,,,,,4140989,,,,
10909,c554d4598623020c4fe14760c452c319,Dirty Grandpa,/movie/Dirty-Grandpa,2016/01/22,Lionsgate,,,,,,,,,,,,,,,,,,,,,,35593113,,,,,,,,,,,,,,,,,,,,,,,,,,4114810,,,,
11313,f8c9367fe4b8ea0ef8b4b7bc0ee0e512,Monster Hunt,/movie/Zhuo-yao-ji-(China)-(2015),2016/01/22,FilmRise,,,,,,,,,,,,,,,,,,,,,,32766,,,,,,,,,,,,,,,,,,,,,,,,,,3787,,,,
10911,656a3ae6c164676dd561055745fa4695,The 5th Wave,/movie/5th-Wave-The,2016/01/22,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,34912982,,,,,,,,,,,,,,,,,,,,,,,,,,4036182,,,,
11056,9ded4ab9ba8d0f205c3ea25b04a79fee,Lazer Team,/movie/Lazer-Team,2016/01/27,Rooster Teeth,,,,,,,,,,,,,,,,,,,,,,1186426,,,,,,,,,,,,,,,,,,,,,,,,,,137159,,,,
11332,575f95e4847cc86faa562bb64cb39207,"Rabin, The Last Day",/movie/Rabin-The-Last-Day,2016/01/29,Kino Lorber,,,,,,,,,,,,,,,,,,,,,,28411,,,,,,,,,,,,,,,,,,,,,,,,,,3284,,,,
11230,7a37b1e1cd54460162366c6d1ad9c819,Saala Khadoos,/movie/Saala-Khadoos,2016/01/29,UTV Communications,,,,,,,,,,,,,,,,,,,,,,76931,,,,,,,,,,,,,,,,,,,,,,,,,,8893,,,,
11288,8950069383d77e67e1debb374b4514f5,Mastizaade,/movie/Mastizaade,2016/01/29,Eros Entertainment,,,,,,,,,,,,,,,,,,,,,,43403,,,,,,,,,,,,,,,,,,,,,,,,,,5017,,,,
11183,51291a88c92c1ccde5233410856b0343,Requiem For the American Dream,/movie/Requiem-for-the-American-Dream,2016/01/29,Gravitas Ventures,,,,,,,,,,,,,,,,,,,,,,130152,,,,,,,,,,,,,,,,,,,,,,,,,,15046,,,,
10958,9e70eb74c2b29c1cd4d86ddb9f06492d,Fifty Shades of Black,/movie/Fifty-Shades-of-Black,2016/01/29,Open Road,,,,,,,,,,,,,,,,,,,,,,11686940,,,,,,,,,,,,,,,,,,,,,,,,,,1351091,,,,
11291,1dd02078538eee2395b3d3640cde6861,A Melody to Remember,/movie/Melody-to-Remember-A,2016/01/29,CJ Entertainment,,,,,,,,,,,,,,,,,,,,,,41845,,,,,,,,,,,,,,,,,,,,,,,,,,4837,,,,
10852,013edd94304a82e7d9d2514b1a6f1ec1,Kung Fu Panda 3,/movie/Kung-Fu-Panda-3,2016/01/29,20th Century Fox,,,,,,,,,,,,,,,,,,,,,,143528619,,,,,,,,,,,,,,,,,,,,,,,,,,16592903,,,,
11017,0225c24ce6704533f99276e86b9032e0,2016 Oscar Shorts,/movie/2016-Oscar-Shorts,2016/01/29,ShortsHD,,,,,,,,,,,,,,,,,,,,,,2816816,,,,,,,,,,,,,,,,,,,,,,,,,,325643,,,,
11048,4cc195df816b229f8e513d7c2954c749,Jane Got a Gun,/movie/Jane-Got-a-Gun,2016/01/29,Weinstein Co.,,,,,,,,,,,,,,,,,,,,,,1513793,,,,,,,,,,,,,,,,,,,,,,,,,,175004,,,,
10922,736c4d8140c803ace264216686046f07,The Finest Hours,/movie/Finest-Hours-The,2016/01/29,Walt Disney,,,,,,,,,,,,,,,,,,,,,,27569558,,,,,,,,,,,,,,,,,,,,,,,,,,3187232,,,,
11173,a5ce3ff46efb47ec0d71b5c0c1514360,Rams,/movie/Hrutar,2016/02/03,Cohen Media Group,,,,,,,,,,,,,,,,,,,,,,149250,,,,,,,,,,,,,,,,,,,,,,,,,,17254,,,,
11262,931b050878ece178cc3a7785efd56e67,Regression,/movie/Regression,2016/02/05,Weinstein Co.,,,,,,,,,,,,,,,,,,,,,,55039,,,,,,,,,,,,,,,,,,,,,,,,,,6362,,,,
10961,9809ec322ed03bdaf4253c3b4c67b616,Pride and Prejudice and Zom…,/movie/Pride-and-Prejudice-and-Zombies,2016/02/05,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,10907291,,,,,,,,,,,,,,,,,,,,,,,,,,1260958,,,,
11150,73ffeaff7053830fa01c9d2ba66e4ff1,Southbound,/movie/Southbound,2016/02/05,The Orchard,,,,,,,,,,,,,,,,,,,,,,205048,,,,,,,,,,,,,,,,,,,,,,,,,,23704,,,,
10917,e1fe925461347d0403fd8e81302560aa,"Hail, Caesar!",/movie/Hail-Caesar-(2015),2016/02/05,Universal,,,,,,,,,,,,,,,,,,,,,,30080225,,,,,,,,,,,,,,,,,,,,,,,,,,3477482,,,,
11365,45412fe42231f262f5337fa59612c382,Sanam Teri Kasam,/movie/Sanam-Teri-Kasam,2016/02/05,Eros Entertainment,,,,,,,,,,,,,,,,,,,,,,22121,,,,,,,,,,,,,,,,,,,,,,,,,,2557,,,,
11082,3d7830ea6c1cc96d28f916d9b3bd4612,Monkey King 2,/movie/Xi-You-Ji-zhi-Sun-Wu-Kong-San-Da-Bai-Gu-Jing-(China)-(2016),2016/02/05,China Lion Film D…,,,,,,,,,,,,,,,,,,,,,,709982,,,,,,,,,,,,,,,,,,,,,,,,,,82078,,,,
11390,59e1241281de9833e6a89f225d868409,I Knew Her Well,/movie/Io-la-conoscevo-bene,2016/02/05,Janus Films,,,,,,,,,,,,,,,,,,,,,,18010,,,,,,,,,,,,,,,,,,,,,,,,,,2082,,,,
10941,54c790c2eeba6eedb607c89322552d1c,The Choice,/movie/Choice-The-(2015),2016/02/05,Lionsgate,,,,,,,,,,,,,,,,,,,,,,18730891,,,,,,,,,,,,,,,,,,,,,,,,,,2165420,,,,
11306,4dd152eb4eb24be61deac1976673efc8,Eisenstein In Guanajuato,/movie/Eisenstein-In-Guanajuato,2016/02/05,Strand,,,,,,,,,,,,,,,,,,,,,,34282,,,,,,,,,,,,,,,,,,,,,,,,,,3963,,,,
11268,951821fe04382a912d93f32a58dd1487,The Club,/movie/Club-El,2016/02/05,Music Box Films,,,,,,,,,,,,,,,,,,,,,,52761,,,,,,,,,,,,,,,,,,,,,,,,,,6099,,,,
11175,43e4dfcdf9e00171c25dabb4ece087b0,Touched With Fire,/movie/Touched-With-Fire,2016/02/12,Roadside Attractions,,,,,,,,,,,,,,,,,,,,,,146487,,,,,,,,,,,,,,,,,,,,,,,,,,16934,,,,
11181,db39f773c6393f52dc64be5aef1e90ec,Tumbledown,/movie/Tumbledown,2016/02/12,Starz Digital Media,,,,,,,,,,,,,,,,,,,,,,135026,,,,,,,,,,,,,,,,,,,,,,,,,,15609,,,,
11350,56c04be4f0ce0ed6d0ac94f9dd025a41,The New Year's Eve of Old Lee,/movie/Guo-Nian-Hao,2016/02/12,China Lion Film D…,,,,,,,,,,,,,,,,,,,,,,25358,,,,,,,,,,,,,,,,,,,,,,,,,,2931,,,,
11186,3ec09bd26ccee629cbe5c192f667e121,A War,/movie/Krigen,2016/02/12,Magnolia Pictures,,,,,,,,,,,,,,,,,,,,,,122902,,,,,,,,,,,,,,,,,,,,,,,,,,14208,,,,
11103,da8269110cb1f8dac13347c8ed781024,Fitoor,/movie/Fitoor,2016/02/12,UTV Communications,,,,,,,,,,,,,,,,,,,,,,528799,,,,,,,,,,,,,,,,,,,,,,,,,,61132,,,,
11197,7fdfa702c1df7fb9f7dd506255d75fe8,Until Forever,/movie/Por-Siempre,2016/02/12,CanZion Films,,,,,,,,,,,,,,,,,,,,,,106833,,,,,,,,,,,,,,,,,,,,,,,,,,12350,,,,
11446,62dc4d75369cbdf67f74971528bfb8a9,Providence,/movie/Providence,2016/02/12,Main Street,,,,,,,,,,,,,,,,,,,,,,8556,,,,,,,,,,,,,,,,,,,,,,,,,,989,,,,
11404,c5abb2cc96b97d0bdc56bb5642e314cd,Of Mind and Music,/movie/Of-Mind-and-Music,2016/02/12,Monterey Media,,,,,,,,,,,,,,,,,,,,,,15083,,,,,,,,,,,,,,,,,,,,,,,,,,1743,,,,
11054,11027eb7f906a3b4f89b933a3d35e32b,The Little Prince,/movie/Little-Prince-The-(France),2016/02/12,Entertainment One,,,,,,,,,,,,,,,,,,,,,,1311213,,,,,,,,,,,,,,,,,,,,,,,,,,151585,,,,
10840,f6962032877a26d617c0e15e942d8bbd,Deadpool,/movie/Deadpool,2016/02/12,20th Century Fox,,,,,,,,,,,,,,,,,,,,,,363070709,,,,,,,,,,,,,,,,,,,,,,,,,,41973492,,,,
11059,3fc166822fec7bb82c6070bc95d2003c,Dough,/movie/Dough,2016/02/12,Menemsha Entertai…,,,,,,,,,,,,,,,,,,,,,,1148304,,,,,,,,,,,,,,,,,,,,,,,,,,132751,,,,
11405,d6bf0d1f969c55c614ad33582e81b29e,Already Tomorrow in Hong Kong,/movie/Already-Tomorrow-in-Hong-Kong,2016/02/12,Gravitas Ventures,,,,,,,,,,,,,,,,,,,,,,14966,,,,,,,,,,,,,,,,,,,,,,,,,,1730,,,,
10920,b871816de86216b077b331439218d41d,Zoolander 2,/movie/Zoolander-2-(2016),2016/02/12,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,28848693,,,,,,,,,,,,,,,,,,,,,,,,,,3335109,,,,
10898,f5c6b11d57033e50ad97b2114f518429,How to be Single,/movie/How-to-be-Single,2016/02/12,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,46843513,,,,,,,,,,,,,,,,,,,,,,,,,,5415435,,,,
11222,6d225643cb1eeab1595e4230d205f2b8,Mountains May Depart,/movie/Shan-he-gu-ren-(China),2016/02/12,Kino Lorber,,,,,,,,,,,,,,,,,,,,,,82913,,,,,,,,,,,,,,,,,,,,,,,,,,9585,,,,
11447,791748b9c15da69566b590f1e6624889,We Are Twisted F***ing Sister!,/movie/We-Are-Twisted-F-ing-Sister,2016/02/15,Music Box Films,,,,,,,,,,,,,,,,,,,,,,8277,,,,,,,,,,,,,,,,,,,,,,,,,,956,,,,
11052,71739c820831416db43c5fdb3c06d967,Embrace of the Serpent,/movie/abrazo-de-la-serpiente-El,2016/02/17,Oscilloscope Pict…,,,,,,,,,,,,,,,,,,,,,,1329249,,,,,,,,,,,,,,,,,,,,,,,,,,153670,,,,
11259,cf3df609ee31d2845b1e70008b9f3d40,DONGJU; The Portrait of A Poet,/movie/Dong-ju,2016/02/17,Megabox Plus M,,,,,,,,,,,,,,,,,,,,,,56184,,,,,,,,,,,,,,,,,,,,,,,,,,6495,,,,
10905,0d7d09026ecaaae8c148c27e5c1f5d94,Risen,/movie/Risen,2016/02/19,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,36880033,,,,,,,,,,,,,,,,,,,,,,,,,,4263587,,,,
11010,892effc78464aedf67af868d3e5194c8,The Mermaid,/movie/Mei-Ren-Yu,2016/02/19,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,3229457,,,,,,,,,,,,,,,,,,,,,,,,,,373347,,,,
11039,f8e212c08eab8207db48e05178bd2a46,Busco Novio Para Mi Mujer,/movie/Busco-Novio-Para-Mi-Mujer,2016/02/19,Lionsgate,,,,,,,,,,,,,,,,,,,,,,1741889,,,,,,,,,,,,,,,,,,,,,,,,,,201374,,,,
11047,7c7ffa7c9322213382ded76270d4d652,Neerja,/movie/Neerja,2016/02/19,Fox International,,,,,,,,,,,,,,,,,,,,,,1585687,,,,,,,,,,,,,,,,,,,,,,,,,,183316,,,,
11417,a5860517de46b09aabd8aae02a036ac7,City of Women,/movie/citta-delle-donne-Le,2016/02/19,Cohen Media Group,,,,,,,,,,,,,,,,,,,,,,12516,,,,,,,,,,,,,,,,,,,,,,,,,,1446,,,,
10940,224a471882baea8170e824716a2e8336,Race,/movie/Race-(2015),2016/02/19,Focus Features,,,,,,,,,,,,,,,,,,,,,,19115191,,,,,,,,,,,,,,,,,,,,,,,,,,2209848,,,,
10927,16dab6c61691359a98bbbc5cb88263fe,The Witch,/movie/Witch-The,2016/02/19,A24,,,,,,,,,,,,,,,,,,,,,,25138705,,,,,,,,,,,,,,,,,,,,,,,,,,2906208,,,,
10947,86535d4f8cebe4792f8e38e92cd102a1,Eddie the Eagle,/movie/Eddie-the-Eagle,2016/02/26,20th Century Fox,,,,,,,,,,,,,,,,,,,,,,15789389,,,,,,,,,,,,,,,,,,,,,,,,,,1825362,,,,
11196,f97b01a143502e8f143b206db9afe7b3,Against the Wild: Survive t…,/movie/Against-the-Wild-Survive-the-Serengeti,2016/02/26,Anchor Bay Entert…,,,,,,,,,,,,,,,,,,,,,,107953,,,,,,,,,,,,,,,,,,,,,,,,,,12480,,,,
11274,1af4f13af4bd098ee5933353a4814563,Like for Likes,/movie/Like-for-Likes,2016/02/26,CJ Entertainment,,,,,,,,,,,,,,,,,,,,,,50839,,,,,,,,,,,,,,,,,,,,,,,,,,5877,,,,
10955,b68678d4d91b25309608f0c1741510d2,Triple 9,/movie/Triple-9,2016/02/26,Open Road,,,,,,,,,,,,,,,,,,,,,,12639297,,,,,,,,,,,,,,,,,,,,,,,,,,1461190,,,,
10915,cc79dd8b0e837c0e3a41ba245af28238,Gods of Egypt,/movie/Gods-of-Egypt,2016/02/26,Lionsgate,,,,,,,,,,,,,,,,,,,,,,31153464,,,,,,,,,,,,,,,,,,,,,,,,,,3601556,,,,
11273,31041221494f277bef36b3f6d85a62aa,King Georges,/movie/King-Georges,2016/02/26,IFC Films,,,,,,,,,,,,,,,,,,,,,,51663,,,,,,,,,,,,,,,,,,,,,,,,,,5972,,,,
11270,feaa8df750b991f6dc57f5827dfcfc57,The Last Man on the Moon,/movie/Last-Man-on-the-Moon-The,2016/02/26,Gravitas Ventures,,,,,,,,,,,,,,,,,,,,,,52482,,,,,,,,,,,,,,,,,,,,,,,,,,6067,,,,
11302,87aad91ffeadfc34911325ece6ea821f,Songs My Brothers Taught Me,/movie/Songs-My-Brothers-Taught-Me,2016/03/02,Kino Lorber,,,,,,,,,,,,,,,,,,,,,,34793,,,,,,,,,,,,,,,,,,,,,,,,,,4022,,,,
11460,14cef7bcb748bd2512b24cd00a911cee,Behind the White Glasses: P…,/movie/Behind-the-White-Glasses,2016/03/04,Parade Deck Films,,,,,,,,,,,,,,,,,,,,,,6840,2223,,,,,,,,,,,,,,,,,,,,,,,,,790,247,,,
11503,795b23209f5431cc786132cbbd136995,White Lies,/movie/White-Lies-(2013),2016/03/04,ArtMattan Product…,,,,,,,,,,,,,,,,,,,,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,
11413,a20fc282525e0960ce5ed5da53f99904,Late Spring,/movie/Banshun-(Japan),2016/03/04,Janus Films,,,,,,,,,,,,,,,,,,,,,,13254,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,,,
11159,182d5eeba3c09793fb33884531fd6ff8,The Wave,/movie/Bolgen,2016/03/04,Magnolia Pictures,,,,,,,,,,,,,,,,,,,,,,177404,,,,,,,,,,,,,,,,,,,,,,,,,,20509,,,,
10882,c9e9337643ac71d0dc1a51891916a9bd,London Has Fallen,/movie/London-Has-Fallen,2016/03/04,Focus Features,,,,,,,,,,,,,,,,,,,,,,62524260,,,,,,,,,,,,,,,,,,,,,,,,,,7228238,,,,
11098,4ae42e1c8e6f4129d18b67fae3ce6c24,Knight of Cups,/movie/Knight-of-Cups,2016/03/04,Broad Green Pictures,,,,,,,,,,,,,,,,,,,,,,566006,,,,,,,,,,,,,,,,,,,,,,,,,,65434,,,,
10931,ddcd47bc77c3fe7c9b0e13d70a9cc4ed,Whiskey Tango Foxtrot,/movie/Whiskey-Tango-Foxtrot,2016/03/04,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,23083334,,,,,,,,,,,,,,,,,,,,,,,,,,2668593,,,,
11108,10b9ead744875b2d31b8ce535ff6cf60,The Boy and the Beast,/movie/Bakemono-no-ko,2016/03/04,FUNimation,,,,,,,,,,,,,,,,,,,,,,490643,,,,,,,,,,,,,,,,,,,,,,,,,,56721,,,,
11079,4fccc1105661935290114341133224a2,Born to Be Blue,/movie/Born-to-Be-Blue,2016/03/04,IFC Films,,,,,,,,,,,,,,,,,,,,,,755153,,,,,,,,,,,,,,,,,,,,,,,,,,87300,,,,
11014,90056e373723cd268b3b4afcc4501573,The Other Side of the Door,/movie/Other-Side-of-the-Door-The,2016/03/04,20th Century Fox,,,,,,,,,,,,,,,,,,,,,,3000342,,,,,,,,,,,,,,,,,,,,,,,,,,346860,,,,
11504,7a4e7370dd44fc40af205e1f9c360dd8,Mekong Hotel,/movie/Mekong-Hotel,2016/03/04,Strand,,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,
11228,6b99d4d85282851d2679d343096575ce,Colliding Dreams,/movie/Colliding-Dreams,2016/03/04,International Fil…,,,,,,,,,,,,,,,,,,,,,,78288,,,,,,,,,,,,,,,,,,,,,,,,,,9050,,,,
11271,08623a242c7ff45c2c864fc0ed6c29b4,Cemetery of Splendor,/movie/Rak-ti-Khon-Kaen,2016/03/04,Strand,,,,,,,,,,,,,,,,,,,,,,51950,,,,,,,,,,,,,,,,,,,,,,,,,,6005,,,,
10841,92cf729c48e1aad21437e7017de133b0,Zootopia,/movie/Zootopia-(2016),2016/03/04,Walt Disney,,,,,,,,,,,,,,,,,,,,,,341268248,,,,,,,,,,,,,,,,,,,,,,,,,,39452976,,,,
11246,cecce2d8a56006945fe9b40a9060922a,Trapped,/movie/Trapped-(2016),2016/03/04,Abramorama Films,,,,,,,,,,,,,,,,,,,,,,63240,,,,,,,,,,,,,,,,,,,,,,,,,,7310,,,,
11038,c7ee42e01b67fb46046b52c40868d1ef,The Met: Live in HD - Manon…,/movie/Met-Live-in-HD-Manon-Lescaut,2016/03/05,,,,,,,,,,,,,,,,,,,,,,,1770000,,,,,,,,,,,,,,,,,,,,,,,,,,204624,,,,
11244,3323073a19b87345f75d12f71e4376b5,Em La Ba Noi Cua Anh,/movie/Em-La-Ba-Noi-Cua-Anh,2016/03/11,CJ Entertainment,,,,,,,,,,,,,,,,,,,,,,65718,,,,,,,,,,,,,,,,,,,,,,,,,,7597,,,,
11436,49530ccb06cb0b9b96dd40ab21b75aa0,River of Grass,/movie/River-of-Grass,2016/03/11,Oscilloscope Pict…,,,,,,,,,,,,,,,,,,,,,,10070,,,,,,,,,,,,,,,,,,,,,,,,,,1164,,,,
11451,6a04bfa93677c16d008c5a0fc83201a0,Talent Has Hunger,/movie/Talent-Has-Hunger,2016/03/11,First Run Features,,,,,,,,,,,,,,,,,,,,,,7998,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,
10977,4f60963e3d51b62054c619dead38916c,The Brothers Grimsby,/movie/Brothers-Grimsby-The,2016/03/11,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,6864016,,,,,,,,,,,,,,,,,,,,,,,,,,793527,,,,
10965,dde7e6146d29cf11fbc9edd542ddba9a,The Perfect Match,/movie/Perfect-Match-The,2016/03/11,Lionsgate,,,,,,,,,,,,,,,,,,,,,,9669521,,,,,,,,,,,,,,,,,,,,,,,,,,1117863,,,,
11344,b264f4a0e1a1d3825126ca65229f212c,Standing Tall,/movie/tete-haute-La,2016/03/11,Cohen Media Group,,,,,,,,,,,,,,,,,,,,,,26144,,,,,,,,,,,,,,,,,,,,,,,,,,3022,,,,
11459,9b8e82981135f65d362aaabb925b5c5d,Boom Bust Boom,/movie/Boom-Bust-Boom,2016/03/11,Brainstorm Media,,,,,,,,,,,,,,,,,,,,,,6896,,,,,,,,,,,,,,,,,,,,,,,,,,797,,,,
10875,a437f01d10a7b73547a1ff5718020055,10 Cloverfield Lane,/movie/10-Cloverfield-Lane,2016/03/11,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,72082999,,,,,,,,,,,,,,,,,,,,,,,,,,8333294,,,,
11346,7fc89f2203a2e5ed888d3b83097ab42d,The Dog Wedding,/movie/Dog-Wedding-The,2016/03/11,25th Frame,,,,,,,,,,,,,,,,,,,,,,25855,,,,,,,,,,,,,,,,,,,,,,,,,,2989,,,,
11512,2dc561445ecf55811ecb737e2865a78c,Hyena Road,/movie/Hyena-Road,2016/03/11,Samuel Goldwyn Films,,,,,,,,,,,,,,,,,,,,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,
10978,347333de1b14d4234e9b02bff81dcbba,The Young Messiah,/movie/Young-Messiah-The-(2016),2016/03/11,Focus Features,,,,,,,,,,,,,,,,,,,,,,6469813,,,,,,,,,,,,,,,,,,,,,,,,,,747955,,,,
11357,f376d9b206008d621099712ea5798003,Lolo,/movie/Lolo,2016/03/11,FilmRise,,,,,,,,,,,,,,,,,,,,,,24134,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,
11091,fc706676c373e8167e3b63dab35a98b4,City of Gold,/movie/City-of-Gold,2016/03/11,IFC Films,,,,,,,,,,,,,,,,,,,,,,608799,,,,,,,,,,,,,,,,,,,,,,,,,,70381,,,,
