,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
59,tt0070917,The Wicker Man,/movie/Wicker-Man-The-(1975),88,"Horror,Mystery,Thriller",07,08,1974,Warner Bros.,,,,,,,,,,,,,,,,,,,58341.0,,,,,,,,,,,,,,,,,,,,,,,,,,7176.0,,,,,,,
60,tt0071129,Amarcord,/movie/Amarcord,123,"Comedy,Drama",19,09,1974,,,,,,,,,,,,,,,,128051.0,3326.0,,,,,,,,,,,,,,,,,,,,,,,,,17073.0,421.0,,,,,,,,,,
62,tt0072041,Promised Lands,/movie/Promised-Lands,87,"Documentary,War",31,12,1974,The Film Desk,,,,,,,,,,,,,,,,4149.0,397.0,,,,,,,,,,,,,,,,,,,,,,,,,525.0,50.0,,,,,,,,,
63,tt0073580,The Passenger,/movie/Professione-reporter-(Italy)(1975),126,"Drama,Thriller",09,04,1975,Sony Pictures Cla…,,,,,,,,,,,509648.0,110096.0,,,,,,,,,,,,,,,,,,,,,,,,,79508.0,16808.0,,,,,,,,,,,,,,
65,tt0073629,The Rocky Horror Picture Show,/movie/Rocky-Horror-Picture-Show-The,100,"Comedy,Musical",26,09,1975,20th Century Fox,,,,,,,,,,,,,,,,,,,,,364600.0,269000.0,400000.0,360000.0,,,,,,,,,,,,,,,,,,,,,,,43250.0,31098.0,44593.0,39517.0,,
67,tt0074916,Mr. Klein,/movie/Mr-Klein-(France),123,"Crime,Drama,Mystery",06,11,1977,Quartet Films,,,,,,,,,,,,,,,,,,,,,,,,,189718.0,3310.0,,,,,,,,,,,,,,,,,,,,,,,,,20711.0,361.0
70,tt0077651,Halloween,/movie/Halloween-(1978),91,"Horror,Thriller",17,10,1978,Compass Internati…,,,,,,,,,,,,,,,,,,,,,,,,,,47274000.0,,,,,,,,,,,,,,,,,,,,,,,,,,5160917.0
71,tt0078748,Alien,/movie/Alien-(1979),117,"Horror,Sci-Fi",25,05,1979,20th Century Fox,,,,,,,,,1719795.0,,,,,,,,,,,,,,,,,75000.0,,,,,,,,,285206.0,,,,,,,,,,,,,,,,,8187.0
72,tt0080117,The Wanderers,/movie/Wanderers-The,112,"Crime,Drama,Romance",13,07,1979,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,5017811.0,,,,,,,,,,,,,,,,,,,,,,,,,,580093.0,,,,
73,tt0078788,Apocalypse Now,/movie/Apocalypse-Now,147,"Drama,Mystery,War",15,08,1979,United Artists,,,,,,,4591287.0,,,,,,,,,,,,,,,,,,,,,,,,,,811181.0,,,,,,,,,,,,,,,,,,,
74,tt0337896,The Life of Brian,/movie/Life-of-Brian-(UK)-(1979),52,Documentary,17,08,1979,Warner Bros.,,,,,,,,,,19904244.0,,,,,,,,,,,,,,,138071.0,,,,,,,,,,,3205192.0,,,,,,,,,,,,,,,15073.0,
75,tt0080749,The Fog,/movie/Fog-The-(1980),89,"Horror,Thriller",01,02,1980,Avco Embassy,,,,,,,,,,,,,,,,,,,,,,,,21445318.0,,,,,,,,,,,,,,,,,,,,,,,,,,2354041.0,,
76,tt0079010,Christ Stopped at Eboli,/movie/Cristo-si-e-fermato-a-Eboli-(Italy)-(1979),150,Drama,23,03,1980,Franklin Media,,,,,,,,,,,,,,,,,,,,,,,,,80868.0,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,8828.0,137.0
77,tt0081505,The Shining,/movie/Shining-The,146,"Drama,Horror",23,05,1980,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,551257.0,,,,,,,,,,,,,,,,,,,,,,,,,,60181.0,
78,tt0081398,Raging Bull,/movie/Raging-Bull,129,"Biography,Drama,Sport",14,11,1980,United Artists,,,,,,,,,,,45250.0,,,,,,,,,,,,,,,,,,,,,,,,,,7059.0,,,,,,,,,,,,,,,
79,tt0083001,Roar,/movie/Roar,95,"Adventure,Comedy,Thriller",01,01,1981,,,,,,,,,,,,,,,,,,,,,,2110050.0,,,,,,,,,,,,,,,,,,,,,,,,,,250302.0,,,,,
80,tt0082971,Raiders of the Lost Ark,/movie/Raiders-of-the-Lost-Ark,115,"Action,Adventure",12,06,1981,Paramount Pictures,,,,,,,,,,,,,,,,,,3125613.0,,,,,,,,,,,,,,,,,,,,,,,,,,392664.0,,,,,,,,
82,tt0082095,The Boat is Full,/movie/Boot-ist-voll-Das,101,"Drama,War",23,10,1981,Castle Hill Produ…,,,,,,,,,,,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,
83,tt0083590,The Atomic Cafe,/movie/Atomic-Cafe-The-(1982),86,"Documentary,History",17,03,1982,Libra Films,,,,,,,,,,,,,,,,,,,,,,,,22293.0,,,,,,,,,,,,,,,,,,,,,,,,,,2447.0,,
84,tt0082477,Gregory's Girl,/movie/Gregorys-Girl-(UK),91,"Comedy,Drama,Romance",26,05,1982,Samuel Goldwyn Films,,,,,,,,,,,,,,,,,,,,,,,,,7710.0,,,,,,,,,,,,,,,,,,,,,,,,,,841.0,
86,tt0083658,Blade Runner,/movie/Blade-Runner,117,"Action,Sci-Fi,Thriller",25,06,1982,Warner Bros.,,,,,,,,,,,,,1178808.0,369694.0,,,,,,,,,,,,,,,,,,,,,,,,,171338.0,51489.0,,,,,,,,,,,,
88,tt0082307,The Beyond,/movie/E-tu-vivrai-nel-terrore-Laldila,,,01,01,1983,,,,,126387.0,,,,,,,,,,,,,,,,,,,,,,,,,,26948.0,,,,,,,,,,,,,,,,,,,,,,
90,tt0084058,Heat and Dust,/movie/Heat-and-Dust-(UK)-(1983),130,"Drama,Romance",15,09,1983,Universal,,,,,,,,,,,,,,,,,,,,,,,12227.0,,,,,,,,,,,,,,,,,,,,,,,,,,1363.0,,,
91,tt0085334,A Christmas Story,/movie/Christmas-Story-A,93,"Comedy,Family",18,11,1983,MGM,,,,,,,,,,,,,,,,,,,,,,,,,,3896391.0,,,,,,,,,,,,,,,,,,,,,,,,,,425370.0
92,tt0086250,Scarface,/movie/Scarface,170,"Crime,Drama",09,12,1983,Universal,,,,,,,,,3983232.0,,,,,,,,,,,,,,,,,,,,,,,,,,660569.0,,,,,,,,,,,,,,,,,
93,tt0087332,Ghostbusters,/movie/Ghostbusters-(1984),105,"Action,Comedy,Fantasy",08,06,1984,Sony Pictures,,,,,,,,,,,,,,,,,,,,21356969.0,,,,,,,,,,,,,,,,,,,,,,,,,,2614072.0,,,,,,
94,tt0087957,Purple Rain,/movie/Purple-Rain-(1984),111,"Drama,Music,Romance",27,07,1984,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,1868075.0,,,,,,,,,,,,,,,,,,,,,,,,,,215962.0,,,,
95,tt0088178,Stop Making Sense,/movie/Stop-Making-Sense,88,"Documentary,Music",19,10,1984,Cinecom,,,,,148443.0,,,,,,,,,,,,,,,,,,,,,,,,,,29221.0,,,,,,,,,,,,,,,,,,,,,
96,tt0086979,Blood Simple,/movie/Blood-Simple,99,"Crime,Drama,Thriller",18,01,1985,USA Films,,,,,,1690913.0,,,,,,,,,,,,,,,,,,,,,,,,,,313712.0,,,,,,,,,,,,,,,,,,,,
97,tt0089218,The Goonies,/movie/Goonies-The-(1985),114,"Adventure,Comedy,Family",07,06,1985,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,864378.0,,,,,,,,,,,,,,,,,,,,,,,,,,94364.0,
98,tt0088763,Back to the Future,/movie/Back-to-the-Future,116,"Adventure,Comedy,Sci-Fi",03,07,1985,Universal,,,,,,,,,,,,,,,,,,,,,12127168.0,,,,,,,,,,,,,,,,,,,,,,,,,,1438572.0,,,,,
99,tt0090015,Shoah,/movie/Shoah,566,"Documentary,History,War",01,11,1985,IFC Films,,,,,,,,,,,,,,,,15642.0,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,,,,,,,,,,
